iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
92,363206,0.02728395,,0.207298
93,360932,0.02792051,,0.207298
94,358968,0.02772608,,0.207298
95,359144,0.02739926,0.000000,0.180463
96,356176,0.02832040,,0.180463
97,365638,0.02796686,,0.180463
98,361882,0.02789893,,0.180463
99,362942,0.02858713,,0.180463
100,357500,0.02968482,0.000000,0.157102
101,360074,0.02978822,,
102,365064,0.02940316,,
103,367392,0.02931021,,
104,362002,0.02982655,,
105,360734,0.03007498,0.625000,0.625000
106,358468,0.02981981,,0.625000
107,360166,0.02931872,,0.625000
108,361648,0.02895150,,0.625000
109,365982,0.03033573,,0.625000
110,360056,0.03068549,0.500000,0.608819
111,367644,0.03063927,,0.608819
112,358600,0.03040058,,0.608819
113,362666,0.02923947,,0.608819
114,364284,0.02944724,,0.608819
115,366114,0.02912880,0.468750,0.590687
116,365050,0.02918487,,0.590687
117,351106,0.03095656,,0.590687
118,350284,0.03122126,,0.590687
119,351268,0.03042166,,0.590687
120,358728,0.02931120,0.375000,0.562766
106,85700,0.03529763,,
106,105264,0.03599564,,
107,118370,0.03429905,,
108,139062,0.03039722,,
109,147040,0.03288371,,
110,165740,0.03242295,0.656250,0.656250
111,166524,0.03274672,,0.656250
112,162744,0.03497043,,0.656250
113,151726,0.03781789,,0.656250
114,160798,0.03477541,,0.656250
115,160430,0.03495856,0.437500,0.627933
116,155950,0.03464443,,0.627933
117,153300,0.03401460,,0.627933
118,152448,0.03495966,,0.627933
119,153934,0.03552322,,0.627933
120,152148,0.03695044,0.500000,0.611372
121,138274,0.03810709,,0.611372
122,134788,0.04174695,,0.611372
111,177966,0.05300109,,
112,214358,0.04339614,,
113,248112,0.04054671,,
114,273192,0.03988227,,
115,308100,0.03797227,0.343750,0.343750
116,340592,0.03690912,,0.343750
117,370678,0.03623484,,0.343750
118,408432,0.03503519,,0.343750
119,445766,0.03401559,,0.343750
120,476516,0.03407562,0.500000,0.363976
121,498752,0.03346907,,0.363976
122,521616,0.03289532,,0.363976
123,536354,0.03316721,,0.363976
124,567354,0.03208829,,0.363976
125,589154,0.03156784,0.500000,0.381585
126,621060,0.03074466,,0.381585
127,646720,0.03015252,,0.381585
128,679378,0.02951611,,0.381585
129,698788,0.02985938,,0.381585
130,719006,0.02977178,0.625000,0.413095
131,715326,0.02950666,,0.413095
132,723020,0.02911556,,0.413095
133,735284,0.02881745,,0.413095
134,749686,0.02869291,,0.413095
135,752786,0.02889647,0.562500,0.432435
136,768498,0.02772639,,0.432435
137,777372,0.02768051,,0.432435
138,784500,0.02749363,,0.432435
139,784346,0.02771054,,0.432435
140,797842,0.02697002,0.562500,0.449272
141,803546,0.02647296,,0.449272
142,816144,0.02599392,,0.449272
143,825076,0.02537409,,0.449272
144,825070,0.02521938,,0.449272
145,830394,0.02508437,0.687500,0.480110
146,836036,0.02492028,,0.480110
147,834226,0.02498101,,0.480110
148,823788,0.02531679,,0.480110
149,832062,0.02490980,,0.480110
150,838638,0.02454839,0.781250,0.519093
151,847584,0.02405605,,0.519093
152,836032,0.02421081,,0.519093
153,830586,0.02366815,,0.519093
154,828664,0.02383613,,0.519093
155,831270,0.02345261,0.625000,0.532802
156,830808,0.02326166,,0.532802
157,832726,0.02291111,,0.532802
158,819660,0.02332878,,0.532802
159,820426,0.02312341,,0.532802
160,804646,0.02361775,0.250000,0.496194
161,808802,0.02369656,,0.496194
162,796744,0.02408089,,0.496194
163,807858,0.02359862,,0.496194
164,803854,0.02360292,,0.496194
165,799574,0.02377170,0.625000,0.512868
166,781324,0.02393438,,0.512868
167,771542,0.02430696,,0.512868
168,774388,0.02411627,,0.512868
169,773620,0.02378502,,0.512868
170,774710,0.02383865,0.375000,0.495021
171,759686,0.02445732,,0.495021
172,762612,0.02476554,,0.495021
173,755684,0.02489529,,0.495021
174,757016,0.02474224,,0.495021
175,746458,0.02599341,0.437500,0.487575
176,738390,0.02639446,,0.487575
177,742674,0.02591597,,0.487575
178,754434,0.02521446,,0.487575
179,746408,0.02603588,,0.487575
180,751348,0.02592521,0.406250,0.477047
181,743644,0.02584754,,0.477047
182,737412,0.02618851,,0.477047
183,729356,0.02605817,,0.477047
184,736718,0.02589465,,0.477047
185,732092,0.02579791,0.625000,0.496200
186,738154,0.02554759,,0.496200
187,750018,0.02576860,,0.496200
188,750666,0.02533465,,0.496200
189,743014,0.02570832,,0.496200
190,743122,0.02575537,0.718750,0.525009
191,759946,0.02483157,,0.525009
192,753716,0.02505861,,0.525009
193,766548,0.02427398,,0.525009
194,763978,0.02472794,,0.525009
195,760048,0.02464912,0.625000,0.537953
196,768252,0.02410557,,0.537953
197,757168,0.02433149,,0.537953
198,749424,0.02446997,,0.537953
199,749566,0.02468806,,0.537953
200,753414,0.02423117,0.750000,0.565402
201,758544,0.02377847,,0.565402
202,769284,0.02330187,,0.565402
203,767014,0.02376792,,0.565402
204,756426,0.02429937,,0.565402
205,753766,0.02467799,0.500000,0.556936
206,764720,0.02448114,,0.556936
207,761174,0.02415062,,0.556936
208,766366,0.02447095,,0.556936
209,778588,0.02368947,,0.556936
210,796518,0.02287880,0.750000,0.581928
211,786010,0.02342829,,0.581928
212,796306,0.02296343,,0.581928
213,796272,0.02337412,,0.581928
214,798862,0.02316060,,0.581928
215,812222,0.02248145,0.843750,0.615821
216,810308,0.02264575,,0.615821
217,824784,0.02226793,,0.615821
218,825690,0.02223815,,0.615821
219,848044,0.02156751,,0.615821
220,845090,0.02204196,0.656250,0.621054
221,844046,0.02199639,,0.621054
222,848920,0.02193077,,0.621054
223,854240,0.02197933,,0.621054
224,866356,0.02143860,,0.621054
225,873180,0.02176688,0.593750,0.617520
226,865700,0.02176695,,0.617520
227,862370,0.02169540,,0.617520
228,858750,0.02179281,,0.617520
229,834320,0.02253373,,0.617520
230,811754,0.02298393,0.593750,0.614443
231,810618,0.02298255,,0.614443
232,814246,0.02252675,,0.614443
233,811056,0.02247713,,0.614443
234,812708,0.02283761,,0.614443
235,803290,0.02301386,0.812500,0.640081
236,800040,0.02313014,,0.640081
237,786366,0.02377779,,0.640081
238,783132,0.02414387,,0.640081
239,776466,0.02420301,,0.640081
240,778192,0.02418161,0.562500,0.630038
241,769434,0.02493203,,0.630038
242,760262,0.02515842,,0.630038
243,741604,0.02579362,,0.630038
244,730974,0.02563849,,0.630038
245,733160,0.02529598,0.687500,0.637477
246,733766,0.02543993,,0.637477
247,746200,0.02481031,,0.637477
248,739914,0.02525806,,0.637477
249,745276,0.02492950,,0.637477
250,748854,0.02479168,0.437500,0.611590
251,754486,0.02441644,,0.611590
252,752352,0.02438806,,0.611590
253,758890,0.02379177,,0.611590
254,754194,0.02458415,,0.611590
255,763238,0.02456363,0.687500,0.621416
256,758452,0.02474036,,0.621416
257,769722,0.02414981,,
258,775958,0.02321784,,
259,760558,0.02353248,,
260,757038,0.02355423,0.500000,0.500000
261,797520,0.02346449,,
262,787342,0.02402099,,
263,781934,0.02508380,,
264,769638,0.02588964,,
265,745084,0.02709979,0.625000,0.625000
266,727298,0.02812619,,0.625000
267,707004,0.02972150,,0.625000
268,692932,0.03040270,,0.625000
269,686340,0.03198393,,0.625000
270,671278,0.03314155,0.625000,0.625000
271,647374,0.03400214,,0.625000
272,626030,0.03550637,,0.625000
273,600388,0.03803833,,0.625000
274,588196,0.03923881,,0.625000
275,572256,0.04055333,0.562500,0.616909
276,554144,0.04172897,,0.616909
277,529868,0.04510851,,0.616909
278,513762,0.04711748,,0.616909
279,507404,0.04872754,,0.616909
280,503834,0.05096168,0.625000,0.625000
281,453874,0.05442719,,0.625000
282,453712,0.05613372,,0.625000
283,453242,0.05728029,,
284,449054,0.05687784,,
285,451316,0.05765531,0.562500,0.562500
286,448288,0.05701032,,0.562500
287,441202,0.05639321,,0.562500
288,445210,0.05704060,0.812500,0.594862
289,441688,0.05567214,,0.594862
290,438118,0.05624548,,0.594862
291,438156,0.05698189,0.562500,0.590673
292,441062,0.05827116,,0.590673
293,439522,0.05735680,,0.590673
294,438102,0.05810478,0.937500,0.635570
295,437432,0.05763889,,0.635570
296,442206,0.05884059,,0.635570
297,443052,0.05904195,0.375000,0.601839
298,442032,0.05672808,,0.601839
299,444312,0.05821750,,0.601839
300,437256,0.05795630,0.937500,0.645290
301,438736,0.05900119,,0.645290
302,438736,0.05898488,,0.645290
303,442864,0.05779600,0.687500,0.650754
304,448422,0.05697798,,0.650754
305,450578,0.05828588,,0.650754
306,453586,0.05876835,0.375000,0.615058
307,457118,0.05816277,,0.615058
308,454388,0.05763722,,0.615058
309,458052,0.05745761,0.687500,0.687500
310,455974,0.05693702,,0.687500
311,457062,0.05589612,,0.687500
312,458534,0.05638598,0.703125,0.689523
313,480816,0.05660376,,
314,506226,0.05774721,,
315,534126,0.05786015,0.640625,0.640625
316,562212,0.05880753,,0.640625
317,584552,0.05863675,,0.640625
318,614376,0.06005864,0.593750,0.634557
319,644134,0.05945283,,0.634557
320,670964,0.05859869,,0.634557
321,698412,0.05853714,0.656250,0.637365
322,726380,0.05814995,,0.637365
323,751614,0.05775940,,0.637365
324,783178,0.05895837,0.585938,0.630708
325,811706,0.05860356,,0.630708
326,837366,0.05896756,,0.630708
327,865762,0.05900993,0.609375,0.627946
328,869550,0.05921929,,0.627946
329,873388,0.05847110,,0.627946
330,875266,0.05860203,0.656250,0.631610
331,881110,0.05871623,,0.631610
332,883540,0.05846804,,0.631610
333,887450,0.05819127,0.625000,0.630755
334,889874,0.05825052,,0.630755
335,896774,0.05791522,,0.630755
336,901668,0.05777450,0.734375,0.644168
337,906084,0.05751184,,0.644168
338,903500,0.05690195,,0.644168
339,906798,0.05742617,0.750000,0.657868
340,909340,0.05679150,,0.657868
341,918978,0.05692386,,0.657868
342,923348,0.05612460,0.703125,0.663727
343,930130,0.05616383,,0.663727
344,937336,0.05514243,,0.663727
345,947344,0.05521337,0.750000,0.674895
346,952138,0.05482777,,0.674895
347,956252,0.05503422,,0.674895
348,956418,0.05458655,0.718750,0.680572
349,955618,0.05416473,,0.680572
350,955016,0.05381110,,0.680572
351,953798,0.05339809,0.593750,0.669333
352,959312,0.05300593,,0.669333
353,951850,0.05310738,,0.669333
354,951236,0.05271778,0.625000,0.663594
355,948592,0.05331965,,0.663594
