iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
1,4510,0.37658687,,
2,10694,0.27275125,,
3,17444,0.19741470,,
4,23128,0.15432774,,
5,29674,0.13103509,0.000000,0.000000
6,36308,0.11693954,,0.000000
7,45068,0.10701601,,0.000000
8,53974,0.09596688,,0.000000
9,64356,0.08258550,,0.000000
10,73574,0.07794657,0.000000,0.000000
11,81274,0.07522132,,0.000000
12,88832,0.07285309,,0.000000
13,97592,0.07068062,,0.000000
14,105666,0.06758761,,0.000000
15,114478,0.06605020,0.000000,0.000000
16,126970,0.06299399,,0.000000
17,143410,0.05779388,,0.000000
18,155164,0.05354023,,0.000000
19,166810,0.05024640,,0.000000
20,175060,0.04881776,0.000000,0.000000
21,179258,0.04612836,,0.000000
22,186640,0.04242896,,0.000000
23,193240,0.03976047,,0.000000
24,200032,0.03943109,,0.000000
25,206140,0.03852659,0.000000,0.000000
26,210026,0.03735873,,0.000000
27,217882,0.03561989,,0.000000
28,237784,0.03106009,,0.000000
29,238060,0.03136845,,0.000000
30,245788,0.03119609,0.000000,0.000000
31,251594,0.03093207,,0.000000
32,258718,0.03136918,,0.000000
33,268032,0.03060662,,0.000000
34,282378,0.02835195,,0.000000
35,289494,0.02772360,0.000000,0.000000
36,296346,0.02688945,,0.000000
37,300216,0.02641786,,0.000000
38,312572,0.02524540,,0.000000
39,316272,0.02573339,,0.000000
40,325944,0.02516007,0.000000,0.000000
41,338142,0.02402178,,0.000000
42,345492,0.02389236,,0.000000
43,353724,0.02291420,,0.000000
44,363744,0.02253219,,0.000000
45,376236,0.02109347,0.000000,0.000000
46,381506,0.02175722,,0.000000
47,384050,0.02093273,,0.000000
48,373024,0.02245388,,0.000000
49,382128,0.02159097,,0.000000
50,382736,0.02124282,0.000000,0.000000
51,390614,0.02073716,,0.000000
52,396736,0.02005541,,0.000000
53,397064,0.02006760,,0.000000
54,399664,0.02022162,,0.000000
55,397422,0.01991930,0.000000,0.000000
56,394954,0.02009777,,0.000000
57,396420,0.01998803,,0.000000
58,388766,0.02050504,,0.000000
59,391348,0.02013279,,0.000000
60,403854,0.01920478,0.000000,0.000000
61,405364,0.01868193,,0.000000
62,408354,0.01891967,,0.000000
63,402002,0.02006661,,0.000000
64,400778,0.02051464,,0.000000
65,396544,0.02068163,0.000000,0.000000
66,402560,0.02034971,,0.000000
67,395788,0.02087160,,0.000000
68,404462,0.01983174,,0.000000
69,402962,0.02039085,,0.000000
70,409070,0.02001787,0.500000,0.064725
71,406810,0.02008245,,0.064725
72,406278,0.01992131,,0.064725
73,407016,0.02081262,,0.064725
74,400434,0.02089131,,0.064725
75,401900,0.02121693,0.000000,0.056346
76,406516,0.02077499,,0.056346
77,399970,0.02159128,,0.056346
78,399952,0.02130363,,0.056346
79,395918,0.02179568,,0.056346
80,386194,0.02245383,0.500000,0.113777
81,383562,0.02291535,,0.113777
82,374314,0.02367601,,0.113777
83,378614,0.02340885,,0.113777
84,371732,0.02453758,,0.113777
85,369906,0.02421498,0.500000,0.163773
86,373768,0.02358012,,0.163773
87,377302,0.02425521,,0.163773
88,367460,0.02529238,,0.163773
89,363466,0.02514803,,0.163773
90,360714,0.02557463,0.500000,0.207298
91,358736,0.02594958,,0.207298
