iteration,temperature
1,4.999999999999999
2,6.719653422024801
3,6.593859323481941
4,5.423828673170159
5,5.4704908321311905
6,5.5107484964637905
7,5.092655263042726
8,4.308368466130009
9,3.4833591071020233
10,2.945416036989004
11,2.5887468650921894
12,2.4019970184108828
13,2.1679004539752156
14,1.91059164342153
15,1.8730798452078328
16,2.0308277829727577
17,2.094016762149029
18,2.238075164838339
19,2.252606480800148
20,2.324196779708257
21,2.360138522344503
22,2.5141649071295356
23,2.759112591245449
24,3.2598636863140067
25,3.830484743415956
26,4.432338652690043
27,4.664495239160911
28,5.031918094197952
29,5.278836605549221
30,5.399925207816932
31,5.625442398805349
32,5.957941963317781
33,6.2756387051051705
34,6.577585364012142
35,7.147874909554647
36,7.942197091590557
37,8.643742819495172
38,9.132199028987339
39,10.085709873488348
40,11.146627748334993
41,12.89752253220086
42,14.259435346456133
43,15.769113289746066
44,16.393491572952456
45,16.318502900185322
46,16.092244331460982
47,16.208578543952807
48,15.268977673683777
49,14.467669779826437
50,12.86978038975497
51,11.109353685120603
52,9.485578432079263
53,8.456217557396256
54,7.3729714485057585
55,6.304222926788725
56,5.5228581946471245
57,4.901678515432059
58,4.651984600679522
59,4.516127429810988
60,4.285256800017373
61,4.196472443440118
62,4.013130101912251
63,3.788949011976286
64,3.6617238553934017
65,3.4600160484464886
66,3.204424493090314
67,2.891677649860471
68,2.659489281702085
69,2.404427529302695
70,2.1409266023230646
71,1.895921282308455
72,1.8106640749756688
73,1.7372035018884944
74,1.6457113771202345
75,1.5946530719804326
76,1.5904076255861221
77,1.5865970561869813
78,1.5304275943581003
79,1.4943199318810714
80,1.4625649568588575
81,1.4595611503056016
82,1.4319767883201242
83,1.432232146214707
84,1.407872262163863
85,1.3863193926038682
86,1.3913592594423474
87,1.3484017482613235
88,1.333954344546826
89,1.39004880066612
90,1.502333623661716
91,1.6243680044866136
92,1.7570325378660516
93,1.8696053313110066
94,2.0263458714227927
95,2.214698225418676
96,2.495528866427203
97,2.661571756779783
98,2.910198763976294
99,3.1020807741753753
100,3.3894118816535976
101,3.7284512602645306
102,3.8980899103455857
103,4.214219819119229
104,4.589803037874606
105,4.839032738729635
106,4.995463519981353
107,5.140278615235017
108,5.397434241300827
109,5.72705723394166
110,6.040214999926272
111,6.187246245768785
112,6.081621897413439
113,6.1280706598770225
114,6.359646261858915
115,6.57503060349162
116,6.92928202912968
117,7.152845857700021
118,6.887766046923542
119,6.518265325310707
120,6.293870886509565
121,6.409670192260536
122,6.740540515229093
123,7.003555126568896
124,7.050520227953825
125,7.141645026692209
126,7.373476740512626
127,7.332899486960722
128,7.198963289376359
129,7.129014625236938
130,7.355106977003569
131,7.4142560884273685
132,7.616692909571018
133,7.90629345337941
134,8.013870999464979
135,8.11165028514045
136,8.363715380799569
137,8.42710513944019
138,8.92205120333611
139,9.56738895761352
140,10.121368062397673
141,10.910801311333298
142,12.092014728886452
143,13.721599715660028
144,15.180482073538272
145,16.72098590662216
146,18.560602402993652
147,20.257877151392247
148,22.550916580535446
149,24.372990331164086
150,25.9748970839681
151,27.66604009796218
152,28.744739863972644
153,30.955467551341755
154,32.11014840773223
155,33.94045919033842
156,34.45071683041228
157,34.91487533669293
158,35.33647530134693
159,36.52752881722334
160,38.05289946832158
161,38.80793582865617
162,38.619903178571136
163,38.23780098574484
164,38.32558121702327
165,38.620376133114654
166,37.820741468129775
