round,seed,matches,pmcts_wins,pmcts_losses,pmcts_draws,pmcts_winrate_pct,mcts_wins,mcts_losses,mcts_draws,pmcts_avg_move_ms,mcts_avg_move_ms,pmcts_total_think_s,mcts_total_think_s,round_elapsed_s
1,869481075,40,31,9,0,77.5,9,31,0,1015.0518930928775,1000.0862081173419,931.8176378592616,913.0787080111331,1844.927063703537
2,869481076,40,23,17,0,57.5,17,23,0,1015.2139752580593,1000.1108730443651,979.6814861240273,958.1062163765018,1937.8198854923248
3,869481077,40,29,11,0,72.5,11,29,0,1014.8120957441439,1000.1106072791882,831.1311064144538,808.0893706815841,1639.2484951019287
4,869481078,40,28,12,0,70.0,12,28,0,1015.2933185217373,1000.1201735251263,958.43689268452,933.1121218989429,1891.5805006027222
5,869481079,40,32,8,0,80.0,8,32,0,1015.1257484000907,1000.1164683938493,944.0669460120844,919.1070344539476,1863.205327987671
6,869481080,40,25,15,0,62.5,15,25,0,1014.9204756638276,1000.0807697473605,893.1300185841683,870.0702696802036,1763.230251789093
