1,415958,0.07084528,,
2,415958,0.05240891,0.343750,0.343750
3,415958,0.04972016,,0.343750
4,415958,0.04786156,0.062500,0.261374
5,415958,0.04646792,,0.261374
6,415958,0.04528624,0.281250,0.267195
7,415958,0.04428745,,0.267195
8,415958,0.04342801,0.250000,0.262159
9,415958,0.04262547,,0.262159
10,415958,0.04191941,0.187500,0.240292
11,415958,0.04132570,,0.240292
12,415958,0.04068622,0.187500,0.224829
13,415958,0.04018035,,0.224829
14,415958,0.03964600,0.125000,0.195590
15,415958,0.03920214,,0.195590
16,415958,0.03869606,0.312500,0.229832
17,415958,0.03826038,,0.229832
18,415958,0.03783154,0.156250,0.208280
19,415958,0.03745786,,0.208280
20,415958,0.03705243,0.218750,0.211347
21,415958,0.03667188,,0.211347
22,415958,0.03630869,0.031250,0.158598
23,415958,0.03594901,,0.158598
24,415958,0.03557140,0.156250,0.157910
25,415958,0.03529719,,0.157910
26,415958,0.03498122,0.187500,0.166577
27,415958,0.03464739,,0.166577
28,415958,0.03433117,0.218750,0.181858
29,415958,0.03404026,,0.181858
30,415958,0.03375767,0.187500,0.183510
31,415958,0.03345448,,0.183510
32,415958,0.03323331,0.218750,0.193832
33,415958,0.03293684,,0.193832
34,415958,0.03272063,0.156250,0.182824
35,415958,0.03246747,,0.182824
36,415958,0.03219362,0.218750,0.193347
37,415958,0.03194604,,0.193347
38,415958,0.03175921,0.187500,0.191634
39,415958,0.03153079,,0.191634
40,415958,0.03127365,0.187500,0.190423
41,415958,0.03105403,,0.190423
42,415958,0.03088188,0.187500,0.189567
43,415958,0.03065145,,0.189567
44,415958,0.03042831,0.093750,0.161503
45,415958,0.03021240,,0.161503
46,415958,0.03004615,0.156250,0.159964
47,415958,0.02984278,,0.159964
48,415958,0.02961072,0.093750,0.140571
49,415958,0.02941613,,0.140571
50,415958,0.02920221,0.093750,0.126857
51,415958,0.02904358,,0.126857
52,415958,0.02884614,0.187500,0.144619
53,415958,0.02871396,,0.144619
54,415958,0.02855898,0.125000,0.138873
55,415958,0.02836701,,0.138873
56,415958,0.02816284,0.125000,0.134810
57,415958,0.02801927,,0.134810
58,415958,0.02790547,0.125000,0.131936
59,415958,0.02774852,,0.131936
60,415958,0.02756463,0.187500,0.148211
61,415958,0.02744924,,0.148211
62,415958,0.02731242,0.125000,0.141412
63,415958,0.02716418,,0.141412
64,415958,0.02701712,0.062500,0.118299
65,415958,0.02690651,,0.118299
66,415958,0.02682747,0.125000,0.120262
67,415958,0.02662359,,0.120262
68,415958,0.02649899,0.156250,0.130803
