iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
177,37010,0.01148346,,0.034426
178,36288,0.01126075,,0.034426
179,36202,0.01143332,,0.034426
180,36374,0.01070068,0.015625,0.031435
181,36200,0.01106570,,0.031435
182,36236,0.01298677,,0.031435
183,36390,0.01241535,,0.031435
184,37146,0.01264591,0.015625,0.028919
185,37928,0.01319657,,0.028919
186,37318,0.01334863,,0.028919
187,37946,0.01356982,,0.028919
188,39172,0.01477554,0.000000,0.024318
189,38328,0.01409192,,0.024318
190,38376,0.01352258,,0.024318
191,38492,0.01450932,,0.024318
192,38898,0.01492873,0.015625,0.022935
193,38598,0.01360023,,0.022935
194,38326,0.01343357,,0.022935
195,45818,0.01829632,,0.022935
196,52884,0.02098206,0.000000,0.019286
197,59654,0.01995253,,0.019286
198,65996,0.01965974,0.015625,0.018703
199,74100,0.02180936,,0.018703
200,77488,0.02132034,0.046875,0.023186
201,82808,0.02427798,,0.023186
202,88338,0.02392763,0.093750,0.034413
203,95258,0.02380437,,0.034413
204,100684,0.02371463,0.109375,0.046340
205,106018,0.02343407,,0.046340
206,112814,0.02291262,0.093750,0.053883
207,117368,0.02353447,,0.053883
208,121394,0.02267638,0.093750,0.060226
209,127560,0.02291056,,0.060226
210,133572,0.02197972,0.125000,0.070532
211,139430,0.02205978,,0.070532
212,145666,0.02185899,0.109375,0.076712
213,151354,0.02129879,,0.076712
214,156232,0.02038356,0.140625,0.086881
215,155838,0.02029958,,0.086881
216,156198,0.02001120,0.140625,0.095432
217,156696,0.01913533,,0.095432
218,157182,0.01871884,0.140625,0.102622
219,156408,0.01808811,,0.102622
220,158656,0.01769519,0.109375,0.103696
221,159122,0.01771061,,0.103696
222,159062,0.01765769,0.125000,0.107086
223,157716,0.01794246,,0.107086
224,156770,0.01780471,0.109375,0.107450
225,156480,0.01834458,,0.107450
226,156156,0.01776426,0.140625,0.112728
227,156690,0.01728850,,0.112728
228,157684,0.01826049,0.171875,0.122139
229,157324,0.01767043,,0.122139
230,157056,0.01729527,0.132812,0.123837
231,157272,0.01730363,,0.123837
232,156016,0.01654579,0.125000,0.124022
233,156458,0.01760912,,0.124022
234,158000,0.01700659,0.093750,0.119206
235,158978,0.01717302,,0.119206
236,160152,0.01639801,0.140625,0.122614
237,161784,0.01632721,,0.122614
238,163304,0.01572709,0.140625,0.125479
239,164650,0.01592811,,0.125479
240,164782,0.01593149,0.171875,0.132861
241,164626,0.01657980,,0.132861
242,165802,0.01700715,0.140625,0.134096
243,165674,0.01694427,,0.134096
244,167208,0.01700614,0.203125,0.145079
245,167538,0.01698970,,0.145079
246,167762,0.01650861,0.187500,0.151828
247,168420,0.01695371,,0.151828
248,169252,0.01703961,0.171875,0.155018
249,168696,0.01674024,,0.155018
250,169088,0.01796709,0.171875,0.157700
251,169160,0.01676655,,0.157700
